STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
50,021,75925,01462239,5002175925,0600000US5002175925,Wallingford,Wallingford town,43,T1,G4040,A,110092950,1160477,+43.4270940,-072.9499415
50,021,14500,01462072,5002114500,0600000US5002114500,Clarendon,Clarendon town,43,T1,G4040,A,81031834,557196,+43.5320075,-072.9885038
50,021,16825,01462079,5002116825,0600000US5002116825,Danby,Danby town,43,T1,G4040,A,107599269,328278,+43.3383336,-073.0964958
50,021,34450,01462120,5002134450,0600000US5002134450,Hubbardton,Hubbardton town,43,T1,G4040,A,70505640,3531337,+43.7339986,-073.1635128
50,021,35425,01462123,5002135425,0600000US5002135425,Ira,Ira town,43,T1,G4040,A,57660948,17129,+43.5690887,-073.0976747
50,021,37685,01462208,5002137685,0600000US5002137685,Killington,Killington town,43,T1,G4040,A,122587615,702976,+43.6575940,-072.7844065
50,021,44125,01462145,5002144125,0600000US5002144125,Mendon,Mendon town,43,T1,G4040,A,98309766,92196,+43.6245823,-072.9101923
50,021,47200,01462155,5002147200,0600000US5002147200,Mount Holly,Mount Holly town,43,T1,G4040,A,127162742,1177334,+43.4229275,-072.8058280
50,021,54250,01462170,5002154250,0600000US5002154250,Pawlet,Pawlet town,43,T1,G4040,A,110964556,538211,+43.3606692,-073.1863230
50,021,55450,01462173,5002155450,0600000US5002155450,Pittsfield,Pittsfield town,43,T1,G4040,A,53038633,170346,+43.8042305,-072.8368970
50,021,56875,01462178,5002156875,0600000US5002156875,Poultney,Poultney town,43,T1,G4040,A,110223965,2739845,+43.5399354,-073.1891929
50,021,61225,01462193,5002161225,0600000US5002161225,Rutland,Rutland city,25,C5,G4040,F,19562140,302417,+43.6096702,-072.9777884
50,021,65275,01462210,5002165275,0600000US5002165275,Shrewsbury,Shrewsbury town,43,T1,G4040,A,129660709,537225,+43.5234408,-072.8601708
50,015,46675,01462154,5001546675,0600000US5001546675,Morristown,Morristown town,43,T1,G4040,A,131520485,1343856,+44.5469642,-072.6422000
50,009,02125,01462029,5000902125,0600000US5000902125,Averill,Averill town,43,T9,G4040,I,93269918,5318195,+44.9407189,-071.6546237
50,009,02162,01462030,5000902162,0600000US5000902162,Avery's,Avery's gore,31,Z1,G4040,N,47207744,85001,+44.9110502,-071.8183509
50,009,06325,01462044,5000906325,0600000US5000906325,Bloomfield,Bloomfield town,43,T1,G4040,A,104034236,612586,+44.8180930,-071.6287369
50,009,08725,01462052,5000908725,0600000US5000908725,Brighton,Brighton town,43,T1,G4040,A,136927046,3829048,+44.7966333,-071.8699758
50,009,15250,01462074,5000915250,0600000US5000915250,Concord,Concord town,43,T1,G4040,A,132826613,5657915,+44.4390845,-071.8261040
50,009,21250,01462086,5000921250,0600000US5000921250,East Haven,East Haven town,43,T1,G4040,A,96484367,116093,+44.6637584,-071.8051796
50,009,29125,01462106,5000929125,0600000US5000929125,Granby,Granby town,43,T1,G4040,A,100282642,240204,+44.5987290,-071.7471732
50,015,85375,01462269,5001585375,0600000US5001585375,Wolcott,Wolcott town,43,T1,G4040,A,100873611,925897,+44.5730330,-072.4466499
50,015,04375,01462038,5001504375,0600000US5001504375,Belvidere,Belvidere town,43,T1,G4040,A,92206005,138864,+44.7725189,-072.6903914
50,015,11500,01462063,5001511500,0600000US5001511500,Cambridge,Cambridge town,43,T1,G4040,A,163019447,1342592,+44.6265471,-072.8153714
50,009,30775,01462111,5000930775,0600000US5000930775,Guildhall,Guildhall town,43,T1,G4040,A,85391281,76269,+44.5407127,-071.6100731
